company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
남성,남성,004270,00172185,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,102320290934.0,,6945078322.0,7100176461.0,288756909702.0,170183452474.0,118573457228.0,126452567225.0,119705643159.0,-2012884394.0,-14096589660.0,15099729700.0,,0.06787586566265538,0.059879981801891496,1.4352575732590918,1.0563626232477474,-0.01967238732050105
네오셈,네오셈,253590,01170865,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,37176448111.0,,4848985780.0,5644203049.0,88840717098.0,37916288497.0,50924428601.0,59561101051.0,9875197433.0,-4574132953.0,-16896757605.0,16255805914.0,,0.13043165838549411,0.11083488227669903,0.7445599202315928,6.031383317154182,-0.12303846078416988
네이블,네이블,153460,00842585,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
네패스,네패스,033640,00227333,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,418366537537.0,,-16401042931.0,-29152270603.0,1104860554018.0,838039683427.0,266820870591.0,339571303357.0,299359137187.0,75905436221.0,-252278426937.0,251098211415.0,,-0.039202568703405216,-0.10925783481040527,3.1408325801904775,1.1343275055769577,0.18143285710150034
네패스아크,네패스아크,330860,01368354,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
넥사다이내믹스,넥사다이내믹스,351320,01440153,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,37855500675.0,,1751298242.0,-7001511300.0,56325970477.0,27385365689.0,28940604788.0,32732800883.0,15396077945.0,-7699689317.0,8909586826.0,2122573392.0,,0.0462627150816306,-0.24192691725997112,0.9462610021320332,2.1260480104045096,-0.20339684272317446
넥스트칩,넥스트칩,396270,01515864,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
넥스틴,넥스틴,348210,01080252,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,57108751854.0,,22064316158.0,18074794225.0,75979578996.0,10352003267.0,65627575729.0,59559552194.0,9528614723.0,10405860711.0,-10490445530.0,516634082.0,,0.3863561265427056,0.27541462600473565,0.15773862057235158,6.2505992660440155,0.18221131390864315
노바텍,노바텍,285490,01259232,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,90500181369.0,,32949401572.0,34694007053.0,139482862166.0,14986233405.0,124496628761.0,115110249112.0,9639192227.0,22268617292.0,-20941309593.0,-1587686908.0,,0.3640810556793703,0.2786742693218075,0.12037461218142326,11.941897868741403,0.24606157639843038
노타,노타,486990,01810477,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
누리플렉스,누리플렉스,040160,00269889,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,85582604459.0,,5512244188.0,8741135055.0,161936685548.0,83070947331.0,78865738217.0,103096663471.0,67015361310.0,1473601026.0,-12325526943.0,13999839804.0,,0.06440846504783279,0.11083564615788753,1.0533211152151942,1.538403456397033,0.017218464375034964
뉴엔AI,뉴엔AI,463020,01639508,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
뉴인텍,뉴인텍,012340,00105040,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,69071327051.0,,333741174.0,355135232.0,81154360527.0,53361263411.0,27793097116.0,47364091968.0,44387196877.0,-1357257304.0,-11651595267.0,26112745237.0,,0.00483183381945994,0.012777821432342452,1.9199466395661553,1.067066525945515,-0.019650082920773273
뉴파워프라즈마,뉴파워프라즈마,144960,00521390,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,310050535632.0,,24461381067.0,27299029403.0,534746391101.0,289109381483.0,245637009618.0,233802443311.0,182345650788.0,17730528509.0,-31577659018.0,-1019768641.0,,0.0788948195723593,0.11113565274814988,1.1769781024960597,1.2821936925867514,0.057185930909161284
뉴프렉스,뉴프렉스,085670,00493510,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,171664202136.0,,1536000753.0,2645778528.0,164643236224.0,112313370098.0,52329866126.0,66733528255.0,102634241207.0,7713322584.0,-13081454479.0,787733947.0,,0.008947705659582491,0.05055962730020151,2.146257546838961,0.6502072551051173,0.044932621292173444
다날,다날,064260,00389970,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,285550121673.0,,15959749229.0,66337389426.0,814206809756.0,449527733827.0,364679075929.0,651504511514.0,197952558155.0,24851336064.0,41107195047.0,37511128289.0,,0.0558912359605871,0.18190621235125468,1.2326666471934336,3.291215418412838,0.08702968122863805
다보링크,다보링크,340360,01416642,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,,,,,,,,,,,,,,,,,,
다산네트웍스,다산네트웍스,039560,00268251,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,469019584521.0,,-31637113577.0,-33875962501.0,520273230206.0,231591227920.0,288682002286.0,365203984892.0,174721363860.0,-1275986986.0,2045805543.0,36744939947.0,,-0.0674537154121407,-0.11734698468468693,0.8022364611790394,2.0902079563929523,-0.002720540949911802
다산솔루에타,다산솔루에타,154040,00624518,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,134549173118.0,,1263809714.0,6486461018.0,162035278630.0,117480633065.0,44554645565.0,47496545487.0,91163211816.0,7253171895.0,-65261634294.0,49834994779.0,,0.009392920704846215,0.14558439273267285,2.636776290670061,0.5210056177360779,0.05390722014054258
다원넥스뷰,다원넥스뷰,323350,01344363,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
대덕,대덕,008060,00109189,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,1371708882418.0,,67199543366.0,54714530587.0,1723958191276.0,351055476398.0,1372902714878.0,726402633569.0,243861865753.0,,,,,0.04898965387432865,0.03985317385861684,0.25570309723598716,2.978746313311448,
대덕전자,대덕전자,353200,01478712,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,1000931518781.0,,72467127013.0,63027288650.0,941014398589.0,259131514537.0,681882884052.0,372780446028.0,182382542307.0,203808775837.0,-133522791745.0,-16361589818.0,,0.07239968534636138,0.09243125194090306,0.3800234917133347,2.0439480737169897,0.20361910082041546
대보마그네틱,대보마그네틱,290670,01259418,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,,,,,,,,,,,,,,,,,,
