stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
309960,LB인베스트먼트,00231901,20260327,26189,1158369,4643447,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
093050,LF,00593032,20260327,235119,456464,9941600,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
003550,LG,00120021,20260327,7411889,6776021,83279655,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
034220,LG디스플레이,00105873,20260327,3450000,153256,300000000,G4540,WICS 디스플레이,G45,IT,KOSPI,wics_local_fallback
051900,LG생활건강,00356370,20260327,2272415,456464,9181475,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
064400,LG씨엔에스,00139834,20260327,2959866,365226,48442974,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
373220,LG에너지솔루션,01515323,20260327,13846950,1554136,35100000,G4535,WICS 전자와 전기제품,G45,IT,KOSPI,wics_local_fallback
032640,LG유플러스,00231363,20260327,4221344,149932,262195296,G5010,WICS 전기통신서비스,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
011070,LG이노텍,00105961,20260327,4475332,2658156,13963593,G4520,WICS 기술하드웨어와장비,G45,IT,KOSPI,wics_local_fallback
066570,LG전자,00401731,20260327,12040562,1554136,107505015,G4535,WICS 전자와 전기제품,G45,IT,KOSPI,wics_local_fallback
037560,LG헬로비전,00222532,20260327,72397,945391,31753214,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
051910,LG화학,00356361,20260327,14582966,1649949,46590946,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
079550,LIG넥스원,00503668,20260327,9863700,6776021,13420000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
225190,LK삼양,00992543,20260327,62632,2658156,31006113,G4520,WICS 기술하드웨어와장비,G45,IT,KOSPI,wics_local_fallback
006260,LS,00105952,20260327,4515264,6776021,16848000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
010120,LS ELECTRIC,00105855,20260327,12495600,6776021,15600000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
000680,LS네트웍스,00104698,20260327,44469,535642,14184542,G4020,WICS 증권,G40,금융,KOSPI,wics_local_fallback
060370,LS마린솔루션,00225742,20260327,489583,6776021,17238821,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
417200,LS머트리얼즈,01528141,20260327,685565,1554136,35855909,G4535,WICS 전자와 전기제품,G45,IT,KOSPI,wics_local_fallback
229640,LS에코에너지,01093007,20260327,434138,6776021,9799961,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
078020,LS증권,00330424,20260327,101697,535642,14425109,G4020,WICS 증권,G40,금융,KOSPI,wics_local_fallback
322180,LS티라유텍,01309388,20260327,89864,365226,12343970,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
108320,LX세미콘,00525934,20260327,562289,153256,10897081,G4540,WICS 디스플레이,G45,IT,KOSPI,wics_local_fallback
001120,LX인터내셔널,00120076,20260327,1222956,6776021,26356800,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
108670,LX하우시스,00759513,20260327,168978,6776021,5918662,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
383800,LX홀딩스,01562589,20260327,342302,6776021,41191572,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
476080,M83,01704680,20260327,26237,945391,4036500,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
